rank	name	year	rating	votes	imglink	imdbLink
16	Goodfellas	1990	8.7	487909	"http://ia.media-imdb.com/images/M/MV5BMjU3MTQ4OTA0MV5BMl5BanBnXkFtZTYwNjAyMDg4._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0099685/?ref_=chttp_tt_16
17	Star Wars: Episode IV - A New Hope	1977	8.7	606880	"http://ia.media-imdb.com/images/M/MV5BMTU4NTczODkwM15BMl5BanBnXkFtZTcwMzEyMTIyMw@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0076759/?ref_=chttp_tt_17
18	Seven Samurai	1954	8.7	166027	"http://ia.media-imdb.com/images/M/MV5BNzg5Mzk5Nzc0NF5BMl5BanBnXkFtZTcwNjg3MDQzMQ@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0047478/?ref_=chttp_tt_18
19	The Lord of the Rings: The Two Towers	2002	8.7	719741	"http://ia.media-imdb.com/images/M/MV5BMTAyNDU0NjY4NTheQTJeQWpwZ15BbWU2MDk4MTY2Nw@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0167261/?ref_=chttp_tt_19
20	The Matrix	1999	8.7	803617	"http://ia.media-imdb.com/images/M/MV5BMjEzNjg1NTg2NV5BMl5BanBnXkFtZTYwNjY3MzQ5._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0133093/?ref_=chttp_tt_20
21	City of God	2002	8.7	365329	"http://ia.media-imdb.com/images/M/MV5BMjA4ODQ3ODkzNV5BMl5BanBnXkFtZTYwOTc4NDI3._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0317248/?ref_=chttp_tt_21
22	Se7en	1995	8.6	656279	"http://ia.media-imdb.com/images/M/MV5BMTQwNTU3MTE4NF5BMl5BanBnXkFtZTcwOTgxNDM2Mg@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0114369/?ref_=chttp_tt_22
23	Once Upon a Time in the West	1968	8.6	150865	"http://ia.media-imdb.com/images/M/MV5BMTgwMzU1MDEyMl5BMl5BanBnXkFtZTcwNDc5Mzg3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0064116/?ref_=chttp_tt_23
24	The Silence of the Lambs	1991	8.6	553797	"http://ia.media-imdb.com/images/M/MV5BMTQ2NzkzMDI4OF5BMl5BanBnXkFtZTcwMDA0NzE1NA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0102926/?ref_=chttp_tt_24
25	The Usual Suspects	1995	8.6	500383	"http://ia.media-imdb.com/images/M/MV5BMzI1MjI5MDQyOV5BMl5BanBnXkFtZTcwNzE4Mjg3NA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0114814/?ref_=chttp_tt_25
