rank,name,imdbLink,year,rating,votes
180,The King's Speech,http://www.imdb.com/title/tt1504320/?ref_=chttp_tt_180,2010,8.1,"8.1 based on 290,843 votes"
181,Twelve Monkeys,http://www.imdb.com/title/tt0114746/?ref_=chttp_tt_181,1995,8.1,"8.1 based on 319,285 votes"
182,Groundhog Day,http://www.imdb.com/title/tt0107048/?ref_=chttp_tt_182,1993,8.1,"8.1 based on 284,253 votes"
183,The Night of the Hunter,http://www.imdb.com/title/tt0048424/?ref_=chttp_tt_183,1955,8,"8.0 based on 44,732 votes"
184,The Big Sleep,http://www.imdb.com/title/tt0038355/?ref_=chttp_tt_184,1946,8,"8.0 based on 47,356 votes"
185,The 400 Blows,http://www.imdb.com/title/tt0053198/?ref_=chttp_tt_185,1959,8,"8.0 based on 46,397 votes"
186,Donnie Darko,http://www.imdb.com/title/tt0246578/?ref_=chttp_tt_186,2001,8,"8.0 based on 400,529 votes"
187,Howl's Moving Castle,http://www.imdb.com/title/tt0347149/?ref_=chttp_tt_187,2004,8,"8.0 based on 122,287 votes"
188,Amores Perros,http://www.imdb.com/title/tt0245712/?ref_=chttp_tt_188,2000,8,"8.0 based on 121,556 votes"
189,Dog Day Afternoon,http://www.imdb.com/title/tt0072890/?ref_=chttp_tt_189,1975,8,"8.0 based on 127,467 votes"
190,Gandhi,http://www.imdb.com/title/tt0083987/?ref_=chttp_tt_190,1982,8,"8.0 based on 111,492 votes"
191,A Beautiful Mind,http://www.imdb.com/title/tt0268978/?ref_=chttp_tt_191,2001,8,"8.0 based on 348,267 votes"
192,Mary and Max,http://www.imdb.com/title/tt0978762/?ref_=chttp_tt_192,2009,8,"8.0 based on 68,631 votes"
193,The Bourne Ultimatum,http://www.imdb.com/title/tt0440963/?ref_=chttp_tt_193,2007,8,"8.0 based on 324,182 votes"
194,Before Midnight,http://www.imdb.com/title/tt2209418/?ref_=chttp_tt_194,2013,8,"8.0 based on 27,101 votes"
195,The Killing,http://www.imdb.com/title/tt0049406/?ref_=chttp_tt_195,1956,8,"8.0 based on 44,811 votes"
196,The Graduate,http://www.imdb.com/title/tt0061722/?ref_=chttp_tt_196,1967,8,"8.0 based on 150,371 votes"
197,The Princess Bride,http://www.imdb.com/title/tt0093779/?ref_=chttp_tt_197,1987,8,"8.0 based on 208,766 votes"
198,Persona,http://www.imdb.com/title/tt0060827/?ref_=chttp_tt_198,1966,8,"8.0 based on 36,864 votes"
199,Black Swan,http://www.imdb.com/title/tt0947798/?ref_=chttp_tt_199,2010,8,"8.0 based on 375,685 votes"
200,The Hustler,http://www.imdb.com/title/tt0054997/?ref_=chttp_tt_200,1961,8,"8.0 based on 43,970 votes"
201,The Exorcist,http://www.imdb.com/title/tt0070047/?ref_=chttp_tt_201,1973,8,"8.0 based on 216,079 votes"
